 , C00, C02, C04, C07, C14, C16, C17, C21, C26, C29
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
2527.18380902439, 0.5904173, 0.06551999, 3.973238, 0.3704407, 3.534116e-29, 0.008322029, 1.880185e-05, 0.1222339, 4.374833, 0.0139454
2527.283771618352, 0.5455961, 0.06022573, 3.736975, 0.3448611, 3.298424e-29, 0.00790557, 1.760642e-05, 0.116036, 4.147375, 0.01327519
2527.383734212313, 0.5041775, 0.05535927, 3.514762, 0.3210478, 3.07845e-29, 0.007509951, 1.648699e-05, 0.1101523, 3.931744, 0.01263718
2527.483696806275, 0.4659032, 0.05088604, 3.305763, 0.2988789, 2.873146e-29, 0.007134131, 1.543874e-05, 0.104567, 3.727324, 0.01202984
2527.583659400236, 0.4305345, 0.04677426, 3.109191, 0.2782407, 2.681534e-29, 0.006777118, 1.445714e-05, 0.09926482, 3.533532, 0.01145169
2527.683621994198, 0.3978507, 0.04299473, 2.924308, 0.2590277, 2.502701e-29, 0.006437971, 1.353795e-05, 0.09423153, 3.349816, 0.01090132
2527.78358458816, 0.4535536, 0.0395206, 2.750419, 0.2411414, 2.335794e-29, 0.006115796, 1.267719e-05, 0.08945346, 3.175651, 0.01037741
2527.883547182121, 0.4191224, 0.03632719, 2.586869, 0.2244902, 2.180019e-29, 0.005809743, 1.187117e-05, 0.08491766, 3.010542, 0.009878669
2527.983509776082, 0.387305, 0.03339181, 2.433045, 0.2089887, 2.034632e-29, 0.005519006, 1.11164e-05, 0.08061185, 2.854017, 0.009403901
2528.083472370044, 0.3579029, 0.03069363, 2.288368, 0.1945577, 1.898941e-29, 0.005242819, 1.040961e-05, 0.07652438, 2.705631, 0.008951951
2528.183434964006, 0.330733, 0.02821347, 2.152294, 0.1811231, 1.7723e-29, 0.004980452, 9.74776e-06, 0.07264416, 2.564959, 0.008521721
2528.283397557967, 0.3056256, 0.02593372, 2.024312, 0.1686162, 1.654104e-29, 0.004731216, 9.127992e-06, 0.06896069, 2.431601, 0.008112168
2528.383360151929, 0.2824242, 0.02383818, 1.903939, 0.156973, 1.543791e-29, 0.004494451, 8.547629e-06, 0.06546399, 2.305176, 0.007722298
2528.48332274589, 0.2609842, 0.02191197, 1.790725, 0.1461337, 1.440834e-29, 0.004269536, 8.004165e-06, 0.0621446, 2.185325, 0.007351166
2528.583285339851, 0.2411717, 0.0201414, 1.684242, 0.1360429, 1.344744e-29, 0.004055875, 7.495256e-06, 0.05899351, 2.071705, 0.006997869
2528.683247933813, 0.2228633, 0.0185139, 1.584091, 0.1266489, 1.255062e-29, 0.003852907, 7.018703e-06, 0.05600221, 1.963992, 0.006661552
2528.783210527775, 0.2059448, 0.01701791, 1.489896, 0.1179036, 1.171361e-29, 0.003660096, 6.57245e-06, 0.05316258, 1.86188, 0.006341399
2528.883173121736, 0.1903106, 0.0156428, 1.401302, 0.1097621, 1.093243e-29, 0.003476934, 6.15457e-06, 0.05046694, 1.765077, 0.006036632
2528.983135715698, 0.1758633, 0.0143788, 1.317976, 0.1021828, 1.020334e-29, 0.003302938, 5.763259e-06, 0.04790797, 1.673306, 0.005746512
2529.083098309659, 0.1625127, 0.01321694, 1.239604, 0.09512692, 9.522869e-30, 0.003137649, 5.396828e-06, 0.04547877, 1.586308, 0.005470335
2529.183060903621, 0.1501757, 0.01214897, 1.165893, 0.08855823, 8.887783e-30, 0.002980632, 1.0697, 0.04317274, 1.503832, 0.005207432
2529.283023497583, 0.1387752, 0.01116729, 1.274174, 0.08244313, 8.295051e-30, 0.002831472, 1.001688, 0.04098363, 1.425644, 0.004957163
2529.382986091544, 0.1282402, 0.01026493, 1.198407, 0.07675028, 7.741849e-30, 0.002689777, 0.9470811, 0.03890553, 1.351522, 0.004718923
2529.482948685506, 0.1185049, 0.009435483, 1.407694, 0.07145053, 7.22554e-30, 0.002555172, 1.487146, 0.0369328, 1.281253, 0.004492132
