 , C00, C01, C06, C13, C18, C24
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted
13.39497751222332, 0.6207932, 0.01022407, 2.301132, 5.420924, 8.996364, 10.76584
13.49494003097126, 0.5909272, 0.009552647, 2.12398, 5.162565, 8.963821, 10.21451
13.59490254971919, 0.562498, 0.008925314, 2.71415, 4.91652, 9.339191, 9.691409
13.69486506846713, 0.5354366, 0.008339178, 2.505202, 5.274527, 8.922198, 9.195097
13.79482758721506, 0.509677, 0.007791535, 2.312339, 6.250719, 8.806203, 8.724202
13.894790105963, 0.4851567, 0.007279856, 2.134324, 5.952813, 9.427454, 8.277423
13.99475262471094, 0.4618161, 0.006801779, 1.970014, 5.669105, 9.006519, 7.853524
14.09471514345887, 0.4395984, 0.006355098, 1.818352, 5.398919, 9.29814, 7.451334
14.19467766220681, 0.4184496, 0.005937752, 1.83142, 5.141609, 8.882977, 7.06974
14.29464018095474, 0.5428446, 0.005547813, 1.690429, 4.896563, 8.486354, 6.707688
14.39460269970268, 0.6525192, 0.005183482, 2.904347, 4.803436, 8.10744, 12.96338
14.49456521845061, 0.6211269, 0.004843077, 2.680757, 5.636886, 7.745443, 13.51407
14.59452773719855, 0.5912448, 0.004525026, 2.474379, 5.368235, 7.39961, 12.82199
14.69449025594648, 1.165537, 0.004227862, 2.28389, 6.183804, 8.185294, 12.16536
14.79445277469442, 1.109464, 0.003950214, 2.108065, 5.889087, 9.657046, 11.54235
14.89441529344235, 1.056088, 0.003690799, 1.945776, 5.608416, 9.225861, 10.95125
14.99437781219029, 1.005281, 0.00344842, 2.133561, 6.696194, 8.813927, 10.39042
15.09434033093822, 0.9569172, 0.003221958, 1.969309, 6.377057, 8.420386, 9.858314
15.19430284968616, 0.9108804, 0.003010368, 2.249087, 6.07313, 9.770755, 9.353456
15.29426536843409, 0.8670585, 0.002812674, 2.239372, 7.167034, 9.334492, 8.874451
15.39422788718203, 0.8253447, 0.002627962, 3.051366, 7.588126, 8.917707, 8.419977
15.49419040592996, 0.7856379, 0.002455381, 2.929023, 7.22648, 8.519532, 10.52228
15.5941529246779, 0.7478414, 0.002294133, 2.703533, 6.88207, 8.139135, 14.48059
15.69411544342583, 0.7118632, 0.002143475, 2.495402, 6.554074, 8.584064, 14.02611
15.79407796217377, 0.6776158, 0.00200271, 2.303294, 6.241711, 8.822933, 13.79049
15.8940404809217, 0.6450161, 0.00187119, 2.125975, 5.944234, 8.934392, 13.50279
15.99400299966964, 0.6139848, 0.001748307, 1.962307, 5.660935, 8.535472, 12.81129
16.09396551841758, 0.5844463, 0.001633494, 1.811239, 6.722311, 9.394094, 12.15521
16.19392803716551, 0.556329, 0.00152622, 1.671801, 6.401929, 8.974649, 12.14753
16.29389055591345, 0.6897542, 0.001425992, 1.543098, 6.096817, 9.156468, 12.59372
16.39385307466138, 0.6565705, 0.001332345, 1.424303, 5.806246, 9.920682, 13.27642
16.49381559340932, 1.194547, 0.001244848, 3.046829, 6.272039, 9.477725, 12.59652
16.59377811215725, 1.367655, 0.001163098, 2.812269, 5.973117, 9.054545, 11.95143
16.69374063090519, 1.301857, 0.001086716, 2.595767, 5.688441, 8.650262, 11.33938
16.79370314965312, 1.239226, 0.00101535, 2.395932, 5.417333, 8.264029, 10.75868
16.89366566840106, 1.179608, 0.0009486707, 2.211482, 5.159146, 9.695039, 10.20771
16.99362818714899, 1.122857, 0.0008863704, 2.041231, 4.913264, 9.262156, 9.684956
17.09359070589693, 1.068837, 0.0008281614, 1.884087, 5.566054, 8.848602, 9.188974
17.19355322464486, 1.017416, 0.0007737751, 1.739041, 5.308478, 8.845774, 8.718393
17.2935157433928, 0.9684687, 0.0007229604, 1.605161, 5.582828, 8.653032, 8.271912
17.39347826214073, 1.641339, 0.0006754827, 1.481588, 6.303407, 8.266676, 15.60603
17.49344078088867, 1.562375, 0.000631123, 1.825143, 7.44978, 9.385238, 14.80682
17.59340329963661, 1.48721, 0.0005896765, 1.684635, 7.094727, 8.966188, 14.04854
17.69336581838454, 1.415661, 0.0005509518, 2.971014, 6.756596, 8.565849, 13.32909
17.79332833713248, 1.347555, 0.0005147701, 2.742291, 6.679107, 8.183385, 12.64649
17.89329085588041, 1.282725, 0.0004809645, 2.531177, 6.360785, 8.180344, 11.99885
17.99325337462835, 1.221014, 0.000449379, 2.336314, 6.057633, 8.301925, 11.38437
18.09321589337628, 1.162271, 0.5957388, 2.157557, 5.768929, 8.578021, 13.12428
18.19317841212422, 1.106355, 0.5566159, 1.991457, 5.493986, 8.195013, 14.81379
18.29314093087215, 1.053129, 0.5200623, 2.077383, 5.232145, 7.829107, 14.05515
18.39310344962009, 1.002464, 0.4859092, 1.917456, 4.982784, 7.479538, 13.33537
18.49306596836802, 1.195533, 0.453999, 1.769841, 4.745307, 7.145578, 16.41856
18.59302848711596, 1.138017, 0.4241843, 1.690386, 4.519149, 8.039099, 15.57775
18.69299100586389, 1.083267, 0.3963276, 1.963426, 4.303769, 8.009889, 14.77999
18.79295352461183, 1.031152, 0.3703004, 1.812272, 4.098653, 7.652248, 14.02308
18.89291604335976, 0.9815439, 0.3459823, 3.023363, 4.767302, 7.310576, 13.30494
18.9928785621077, 0.9343224, 0.3232612, 2.79061, 4.731035, 6.984159, 12.62357
19.09284108085563, 0.8893726, 0.3020323, 2.575776, 6.056314, 7.102816, 11.9771
19.19280359960357, 0.8465855, 0.2821975, 2.37748, 5.767674, 8.469643, 11.36374
19.2927661183515, 1.151328, 0.2636653, 2.19445, 5.49279, 8.091474, 10.78178
19.39272863709944, 1.095939, 0.2463501, 2.025511, 6.274984, 7.73019, 14.6078
19.49269115584737, 1.043214, 0.230172, 2.558438, 6.93061, 8.88192, 17.81564
19.59265367459531, 0.9930252, 0.2150563, 2.361477, 6.600301, 9.087044, 17.83816
19.69261619334324, 0.9452514, 0.2009333, 2.17968, 6.596123, 8.681309, 16.92464
19.79257871209118, 1.368913, 0.1877378, 3.426121, 6.281755, 8.29369, 16.0579
19.89254123083911, 1.303055, 0.1754088, 3.447012, 5.98237, 7.923377, 15.23555
19.99250374958705, 1.240366, 0.1638895, 3.181644, 5.784487, 7.569599, 14.45532
20.09246626833498, 1.180693, 0.1531267, 2.936706, 5.850982, 7.231617, 13.71504
20.19242878708292, 1.12389, 0.1430707, 2.710624, 5.650399, 8.411656, 14.23596
20.29239130583085, 1.069821, 0.1336751, 2.501947, 6.095401, 9.328053, 13.50691
20.39235382457879, 1.018352, 0.1248965, 2.309335, 5.804897, 8.911556, 12.8152
20.49231634332673, 0.9693598, 0.1166944, 2.131552, 5.528239, 8.513657, 13.90786
20.59227886207466, 0.9227244, 0.109031, 1.969005, 5.264766, 8.133522, 13.92447
20.6922413808226, 0.8783327, 0.1018708, 2.005213, 5.01385, 8.549846, 13.21138
20.79220389957053, 1.556437, 0.0951808, 1.850842, 4.774893, 8.412357, 12.5348
20.89216641831847, 1.561658, 0.08893017, 1.708355, 4.547324, 9.08729, 11.89287
20.9921289370664, 1.486528, 0.08309003, 1.576838, 4.330601, 8.681542, 11.28382
21.09209145581434, 1.415012, 0.07763341, 1.455445, 4.124207, 8.293912, 15.73695
21.19205397456227, 1.346936, 0.07253513, 1.583057, 5.323166, 7.92359, 14.93104
21.29201649331021, 1.501661, 0.06777167, 1.461186, 5.859073, 7.569802, 15.52746
21.39197901205814, 1.429417, 0.06332102, 1.348697, 7.694709, 7.231812, 15.23191
21.49194153080608, 1.449524, 0.05916265, 1.244868, 7.327983, 7.585211, 14.91736
21.59190404955401, 1.379788, 0.05527738, 1.64009, 7.191615, 8.360011, 15.88572
21.69186656830195, 1.313407, 0.05164725, 1.513828, 6.848866, 7.986738, 15.07219
21.79182908704988, 1.25022, 0.04825551, 1.397286, 6.522453, 7.630131, 16.79415
21.89179160579782, 1.228325, 0.04508652, 1.712641, 6.211596, 7.289446, 16.85237
