 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, rejected, accepted, accepted, rejected, accepted, accepted, accepted
8.895194, 0.2367346, -0.2491169, 0.7533076, -0.6354995, 1.090757, 0.8792935, -0.3979109, 9.351753, 1.249151, 2.308317, -1.09451, 1.274628, -1.547148, -0.3100889, 23.75539, -0.8730922
8.995139999999999, -0.2051848, 0.08639111, 0.9953541, -0.3951252, 0.04611422, -0.9835585, -0.6004128, 7.998627, 2.639421, 1.316592, -1.216498, 1.237492, 0.08868235, -2.840808, 19.85999, -1.493354
9.095086, -1.342144, -1.116658, -0.6354866, -1.065391, 0.4510068, -1.545217, 0.3259793, 7.073205, -0.9037876, 1.891786, -1.943374, 2.136204, 1.347116, -0.9359753, 19.64837, -0.8564039
9.195031999999999, 0.8103676, -0.2368651, 0.5207182, -0.5437031, 0.3914272, -0.7545898, -0.3883437, 8.007322, -0.302708, 2.976927, 0.5747849, 0.7263071, 0.8815562, -1.869234, 19.31203, 1.813353
9.294978, 2.347293, -1.000316, 1.082324, 0.2221101, -1.643, 2.230126, 0.251229, 6.985335, 0.2584432, 2.129818, -0.1593179, 3.112595, 0.3038234, -1.042877, 20.29601, -0.5265184
9.394924, 0.8425938, 0.3376574, 1.119563, -0.6605263, -1.018866, -2.36051, -0.1175508, 8.374445, -0.6724706, 1.941376, 0.5063392, 2.259521, 1.974576, -1.80317, 17.14716, -1.41423
9.494870000000001, -0.2503105, -0.2947964, 0.6961287, -1.586948, 1.182614, -1.11886, 0.0953362, 8.312153, -0.6072723, 1.429056, -0.5648641, -0.5808365, -0.296753, -2.958897, 17.20305, -0.1674182
9.594816, 1.335197, 0.8401242, -0.2436014, 1.357503, 0.5754616, -1.625604, -0.815455, 8.092289, -0.001397666, 2.52242, -0.4466149, 1.38075, 1.462421, -1.953927, 19.86095, -0.006619887
9.694762000000001, 0.4895615, 0.4600426, 1.681529, -1.388969, 0.03424045, -0.1167167, 1.242792, 6.763614, 1.943179, 2.15557, 0.08523629, 0.199862, 0.2626054, -1.506022, 19.34505, 0.5961967
9.794708, -1.7854, -0.8010771, -1.361428, 0.5592468, 0.1620185, 0.1116004, 0.8346465, 8.188167, 0.9756716, 0.6280064, 0.5204968, 0.6113798, 1.138568, -1.03645, 19.27966, 0.4108933
9.894653999999999, 0.3902932, 0.256362, 1.368957, -1.534951, -0.568809, -0.9587734, 1.605696, 7.009914, 0.0003446493, 2.777065, -0.3148945, -0.4173785, 1.825801, -0.5534541, 16.50199, -1.371044
9.9946, 0.6169047, 0.729606, 0.07404666, -0.3591698, 1.859785, -1.749297, -0.8527797, 6.338488, 0.4180506, 2.862047, -0.1429772, 2.29619, -0.547341, -1.766837, 18.36767, -1.36067
10.094546, -0.8766409, 0.5134088, -0.2693612, -0.6140478, -0.5038179, 0.9931401, -0.9919916, 6.782407, 0.973803, 2.507132, 1.27816, 2.46281, 0.6318234, -0.6404406, 14.91064, -0.5492263
10.194492, 0.2267701, -0.2315281, 0.5455366, -0.4386812, -1.538821, -0.0007390423, 0.2298173, 6.694999, 0.6896646, 2.499039, -1.369103, 3.280549, -0.6718596, -1.447564, 17.09508, 0.1759769
10.294438, 2.204738, -1.405731, -0.6586916, -1.710338, -1.570396, 0.0523527, 0.1054357, 6.478211, 0.08839383, 3.752671, -1.549731, 2.497422, -0.2179902, -0.5540602, 16.98749, 0.6226247
10.394384, 0.7830966, 0.7985646, -0.1403303, 0.3361371, -0.6826316, -0.5098388, -0.1054506, 7.430962, 0.3232723, 1.949776, 0.2093965, 0.6876644, 1.160952, -0.002706391, 16.27357, -1.007819
10.49433, -0.7689145, 2.08729, 1.984164, -0.3339457, 0.5616617, -1.357772, 2.053809, 5.630598, -1.305825, 4.838076, -1.522496, 0.9569822, 0.9860049, -3.184137, 15.66113, 1.133299
10.594276, 0.6280181, -0.7679991, 1.196493, 0.2737725, 1.800271, 2.353673, 0.0130019, 5.280537, 0.757377, 2.877875, -0.3832035, 0.6992207, 0.4696823, -1.636363, 14.41883, -0.2515134
10.694222, 0.684233, 0.09115861, 0.4438279, -0.133788, 1.015045, 2.299751, 0.5832635, 3.474781, 1.239197, 2.530381, -0.4858535, 1.711119, -0.2275909, -0.1726717, 13.42661, 0.3107228
10.794168, 0.765956, -0.4007864, -0.1088686, 0.1644247, 0.105867, -0.1728186, -0.3120698, 5.837312, 1.159651, 3.275692, -0.6599093, 1.018635, 0.9003335, 0.3085684, 11.57548, -1.158113
10.894114, -0.7133508, 0.09600458, -1.067941, -1.313513, 0.3685914, 0.9941457, 2.07489, 6.062039, 2.837621, 1.390564, -1.29285, 0.5612394, 0.8692558, -1.150077, 12.13992, -0.4674619
10.99406, 0.988629, 0.01111409, -1.289663, 0.3265707, -0.8964099, 1.792039, -0.204604, 6.524967, 1.067264, 1.373076, 0.2457263, 2.347344, 0.6008207, -2.755162, 11.49767, -0.7305114
11.094006, -0.2430158, 0.445585, -2.320108, -0.2115155, 0.1334585, -0.3861404, -1.86339, 6.478325, 1.182808, 4.023563, 0.07323913, 0.8742779, 1.706417, -0.2879038, 11.0951, -0.9631154
11.193952, -1.017142, -1.423261, 0.9426531, 0.04473058, -0.5829573, -0.4283867, -0.3510952, 5.550742, -1.064555, 1.765598, -0.4771808, -1.045631, 0.381052, -0.5489335, 12.25294, 0.02669679
11.293898, -0.538818, -0.4143681, 1.834599, 0.01566486, -1.413611, 0.5588232, -0.4112311, 5.626957, 2.587389, 3.205076, 1.869869, 1.435073, 0.05191883, -2.650878, 11.01665, -0.2435257
11.393844, -0.9648104, -0.03130131, -2.071108, -1.584969, 1.085306, 0.4546915, -0.8771896, 3.571695, 1.589886, 4.456789, -1.0204, 2.202196, 0.7282121, -2.239558, 9.041419, 1.093731
11.49379, 0.2537162, -2.297942, 2.284311, -0.7712149, 1.042473, -1.256018, -1.054117, 5.531456, -0.08326104, 4.152335, -0.2153698, 1.048926, 1.357914, -2.943231, 11.5532, 0.4636938
11.593736, -0.3354796, -0.4072131, 1.969699, -2.571897, -1.518501, 0.375657, -0.9313385, 5.35656, 0.1089292, 4.40669, -1.173368, 0.01682251, 0.9769344, -1.083165, 8.595669, 1.733699
11.693682, -0.09438133, 0.3697678, 0.3749313, -1.291865, 0.04095531, 1.446723, -1.987076, 6.633734, 0.396678, 3.211021, -0.1155813, -1.513774, -1.325811, -1.002284, 11.41185, 0.8373274
11.793628, 0.8658044, 1.441863, -1.271086, -0.02523427, -0.6255126, 1.950344, -0.2613823, 4.636933, 0.397636, 2.262582, -1.491887, -0.3865771, -1.362568, -0.1134247, 9.172476, -0.4588108
11.893574, 0.9138108, 1.808203, 1.240556, -0.1495674, -1.824853, 1.47953, -1.362146, 4.004904, -0.2168681, 2.039804, -1.539927, -0.4225046, 0.01925512, -1.375327, 8.397645, -0.4693133
11.99352, 0.1644717, 0.8763101, 0.3865974, 0.04932768, 1.382042, 1.759348, -0.3010297, 4.644951, 0.1628276, 3.021612, -0.5473874, 0.7748663, 0.7710162, -1.798664, 9.592962, -1.789979
12.093466, 0.5546201, -0.6235352, 0.1360682, 0.08792182, 1.181199, 1.66428, -0.9930503, 3.281149, 0.5572522, 4.159134, 0.7369487, 2.174743, -0.8208083, 0.04506589, 6.622914, -0.3505787
12.193412, -0.7658093, 0.7096081, -0.4711727, -1.192285, -1.147024, -0.3691632, -1.22198, 6.315511, 0.1404882, 2.905372, 0.1295295, 0.232252, -0.672873, -2.245272, 8.274801, -0.2137216
12.293358, -1.652612, 1.369139, 1.62964, 0.1229763, -0.7972394, -0.1019826, -0.2273808, 3.892479, 0.5082607, 3.727828, 0.2924948, 0.570298, -1.642009, -1.139073, 7.164728, 1.481973
