 , C00, C01, C02, C03, C05, C06, C07, C08, C09, C10, C13, C15, C18, C21, C22, C25, C26, C27, C28, C29, C30
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
68.27450275523756, 3.391672e-05, 4.738588, 0.7640219, 0.1261357, 0.04634007, 0.02417629, 1.08473, 0.379134, 0.5033168, 14.37395, 22.30116, 57.00691, 0.005551778, 3.305273, 6.331871, 0.003319163, 0.03672338, 0.8761417, 0.0002654079, 0.004809834, 0.001443874
68.37446542398608, 3.179544e-05, 4.500099, 0.6904129, 0.1169416, 0.04379132, 0.02244064, 0.9763362, 0.3449728, 0.4375957, 14.08278, 26.98866, 54.62749, 0.00511661, 3.030444, 6.588647, 0.002910644, 0.03302738, 0.7663553, 0.0002249331, 0.004551619, 0.001337067
68.4744280927346, 2.980683e-05, 4.463497, 0.6238958, 0.1084176, 0.04138275, 0.0208296, 0.8787738, 0.3138896, 0.3804562, 13.37767, 30.52977, 54.0719, 0.004715552, 2.778468, 6.073417, 0.002552406, 0.02970336, 0.6703258, 0.0001906308, 0.004307267, 0.001238161
68.57439076148312, 2.794259e-05, 4.238853, 1.410778, 0.1005149, 0.03910666, 0.01933422, 0.7909605, 0.2856071, 0.3307777, 13.1107, 37.58766, 50.75978, 0.00434593, 2.547442, 5.598477, 0.002238259, 0.3849575, 0.5863295, 0.0001615595, 0.004076032, 0.001146571
68.67435343023163, 2.619495e-05, 4.882418, 1.466842, 0.09318829, 0.03695575, 0.01794619, 0.7119221, 0.259873, 0.2875861, 12.64775, 39.77639, 49.23127, 0.00400528, 2.335627, 5.160677, 0.001962777, 0.3462137, 0.5128585, 0.0001369217, 0.003857212, 0.001061756
68.77431609898015, 2.455662e-05, 4.63669, 1.325521, 0.1918214, 0.03492315, 0.01665781, 0.6407818, 0.2364576, 0.2500342, 13.06582, 37.75459, 45.96648, 0.003691332, 2.141423, 4.757114, 0.0017212, 0.3113692, 0.4485938, 0.0001160411, 0.003650139, 0.0009832155
68.87427876772867, 2.302075e-05, 4.403329, 1.197814, 0.2380149, 0.03300234, 0.01546193, 0.5767504, 0.215152, 0.2173858, 12.41163, 35.83555, 45.09912, 0.003401992, 1.963367, 4.385109, 0.001509357, 0.2800317, 0.392382, 9.83448e-05, 0.003454182, 0.0009104846
68.97424143647719, 2.158095e-05, 4.526441, 1.082412, 0.2206658, 0.03118718, 0.0143519, 0.5191174, 0.3763438, 0.4915507, 11.86283, 36.11435, 42.68421, 0.003135332, 1.800116, 4.042194, 0.001323587, 0.251848, 0.3432139, 8.334719e-05, 0.003268745, 0.0008431338
69.0742041052257, 2.023119e-05, 4.298629, 0.9781281, 0.2045812, 0.02947185, 0.01332156, 0.4672435, 0.342434, 0.4273659, 12.54986, 35.54362, 42.50717, 0.002889574, 1.650439, 3.726096, 0.001160682, 0.2265009, 0.3002069, 7.063673e-05, 0.003093264, 0.0007807651
69.17416677397422, 1.896585e-05, 4.082283, 0.8838913, 0.1896691, 0.02785087, 0.01236519, 0.4205532, 0.4677911, 0.3715622, 12.34189, 33.73696, 40.11329, 0.002663078, 1.513208, 3.434716, 0.001017826, 0.2037049, 0.2625889, 5.986461e-05, 0.002927203, 0.00072301
69.27412944272274, 1.777966e-05, 3.876825, 0.7987336, 0.1758439, 0.02631904, 0.01147747, 0.3785286, 0.4256416, 0.3230451, 11.72395, 32.02214, 37.84729, 0.002454337, 1.387387, 3.166122, 0.0008925534, 0.3009041, 0.2296848, 5.073525e-05, 0.002770057, 0.0006695272
