 , C00, C01, C02, C05, C06, C07, C08, C11, C15, C16, C20
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
2028.705165110043, 1.213489e-05, 1.146783, 0.001216318, 0.5869287, 0.002770853, 0.08781523, 0.3086437, 7.588953e-07, 15.0056, 0.2070741, 1.217006
2028.805089123838, 1.14871e-05, 1.020767, 0.00114162, 0.559957, 0.002557629, 0.08301577, 0.2890307, 7.104726e-07, 13.85748, 0.1913829, 1.397272
2028.905013137632, 1.087389e-05, 0.9085992, 0.00107151, 0.5342247, 0.002360813, 0.07847862, 0.270664, 6.651396e-07, 13.01024, 0.1768807, 1.247325
2029.004937151426, 1.029341e-05, 0.8087568, 0.001005705, 0.509675, 0.002179143, 0.07418945, 0.2534645, 6.226992e-07, 12.0148, 0.1634774, 1.113469
2029.10486116522, 9.743922e-06, 0.7198856, 0.0009439422, 0.4862535, 0.002011453, 0.07013469, 0.2373579, 5.829667e-07, 12.15066, 0.1510898, 0.9939774
2029.204785179014, 9.223766e-06, 0.6407802, 0.000885972, 0.4639082, 0.001856667, 0.06630155, 0.2222748, 5.457695e-07, 11.29622, 0.1396408, 0.8873091
2029.304709192808, 8.731378e-06, 0.5703673, 0.0008315619, 0.4425898, 0.001713792, 0.0626779, 0.2081502, 5.109457e-07, 10.43192, 0.1290594, 0.792088
2029.404633206603, 8.265275e-06, 0.5076919, 0.0007804933, 0.4222511, 0.001581911, 0.0592523, 0.1949232, 4.783438e-07, 10.22744, 0.1192799, 0.7070854
2029.504557220397, 7.824054e-06, 0.4519036, 0.000732561, 0.402847, 0.001460179, 0.05601392, 0.1825366, 4.478222e-07, 10.06316, 0.1102413, 0.6312049
2029.604481234191, 7.406386e-06, 0.4022456, 0.0006875723, 0.3843346, 0.001347815, 0.05295253, 0.1709372, 4.192481e-07, 9.293204, 0.1018877, 1.342394
2029.704405247985, 7.011015e-06, 0.3580444, 0.0006453465, 0.3666729, 0.001244097, 0.05005846, 0.1600749, 3.924972e-07, 8.582157, 0.09416709, 1.198335
2029.804329261779, 6.636749e-06, 0.3187003, 0.0006057139, 0.3498228, 0.001148361, 0.04732256, 0.1499028, 3.674532e-07, 8.663803, 0.08703151, 1.069736
2029.904253275573, 6.282462e-06, 0.2836796, 0.0005685152, 0.3337471, 0.001059992, 0.04473619, 0.1403771, 3.440072e-07, 8.927162, 0.08043662, 0.9549382
2030.004177289368, 5.947089e-06, 0.2525072, 0.000533601, 0.6334138, 0.0009784232, 0.04229118, 0.1314568, 3.220572e-07, 8.244122, 0.07434148, 0.8524595
2030.104101303162, 5.629618e-06, 0.2247601, 0.0005008311, 0.6840723, 0.0009031311, 0.03997979, 0.1231033, 3.015078e-07, 7.613343, 0.06870819, 0.7609782
2030.204025316956, 5.329095e-06, 0.2000621, 0.0004700736, 0.7467293, 0.0008336331, 0.03779473, 0.1152806, 2.822695e-07, 7.030826, 0.06350177, 0.9184942
