 , C00, C01, C05, C06, C11, C12, C19, C21, C26, C33, C44, C46, C57, C59, C60, C71, C73, C75
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
1079.697983897847, 7.484557, 0.0007124555, 1.345865, 1.357093, 1.470931, 0.07239924, 0.4740017, 6.012609, 1.834987, 1.95368, 0.5383854, 1.606325, 0.07178584, 0.4509009, 1.822147, 10.82035, 1.79173, 0.0703765
1079.797946677581, 7.068656, 0.000669444, 1.275768, 1.282396, 1.330281, 0.06697687, 0.4478473, 5.716437, 1.739445, 1.859963, 0.4935839, 1.51083, 0.06759529, 0.4282308, 1.706504, 15.3069, 1.672313, 0.06611777
1079.897909457314, 8.783238, 0.0006290292, 2.875393, 1.262813, 1.203079, 0.0619606, 0.4231361, 5.434855, 1.648878, 1.770741, 0.4525105, 1.421013, 0.06364936, 0.4067005, 1.5982, 14.51529, 1.560856, 0.06211675
1079.997872237047, 8.295173, 0.0005910542, 2.725633, 1.193306, 1.088041, 0.05732003, 0.3997883, 6.166241, 1.563027, 1.6858, 0.414855, 1.336535, 0.1376378, 0.3862527, 1.49677, 13.76461, 1.456828, 0.05835785
1080.09783501678, 7.834228, 0.0005553718, 3.149901, 1.127625, 0.9840028, 0.05302702, 0.3777289, 5.862502, 1.481645, 1.604933, 0.3879618, 1.257079, 0.1296031, 0.366833, 1.401778, 14.43399, 1.359732, 0.0548264
1080.197797796513, 9.181303, 0.0005218436, 2.985843, 1.065559, 0.8899126, 0.04905553, 0.3568867, 5.573724, 1.4045, 1.527945, 0.4492084, 1.182347, 0.1220374, 0.3483897, 1.312814, 13.68752, 1.269108, 0.05150867
1080.297760576246, 8.671118, 0.0004903394, 2.83033, 1.184868, 1.759779, 0.04538149, 0.3371944, 5.299172, 1.331373, 1.45465, 0.4118277, 2.204485, 0.1149134, 0.3308736, 1.229496, 12.97965, 1.184524, 0.04839169
1080.397723355979, 8.189282, 0.0004607372, 2.682917, 1.119651, 1.591509, 0.04198262, 0.3185888, 5.038144, 1.262053, 1.384871, 0.3775577, 2.073431, 0.1082052, 0.3142382, 1.151466, 12.30839, 1.105577, 0.04546334
1080.497686135712, 8.152962, 0.0004329222, 2.543181, 1.058024, 1.439329, 0.03883832, 0.3010098, 5.862537, 1.196342, 1.318439, 0.5437838, 1.950167, 0.1018887, 0.2984391, 1.078388, 11.67184, 1.031892, 0.04271219
1080.597648915446, 7.69992, 0.0004067863, 2.410724, 1.573813, 1.301701, 0.0359295, 0.2844007, 5.573759, 1.134052, 1.255194, 0.9773224, 1.834231, 0.09594085, 0.2834345, 1.009948, 11.06822, 0.9631183, 0.04012752
1080.697611695179, 7.853551, 0.0003822283, 2.285165, 1.839721, 1.177233, 0.03323854, 0.2687081, 5.299204, 1.075006, 1.194983, 0.8959949, 1.725188, 0.1992456, 0.2691841, 0.9458513, 10.49581, 0.8989279, 0.03769926
