 , C00, C09, C10, C25, C26, C27, C32, C39
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
14.79446613386349, 3.582533, 3.876255, 1.448498, 1.159505, 3.322519, 0, 0.1690083, 1.903169
14.89442874287608, 3.313066, 2.661033, 1.350619, 1.055925, 3.425667, 0, 0.1604401, 1.781441
14.99439135188867, 3.063867, 1.826789, 3.121783, 0.9615985, 3.233892, 0, 0.1840215, 1.667499
15.09435396090126, 3.002958, 1.305212, 2.745033, 0.8756981, 3.879569, 0, 0.1746922, 1.560845
15.19431656991385, 3.138464, 1.276625, 2.256979, 0.7974713, 4.291001, 0, 0.1658358, 1.461012
15.29427917892644, 2.99459, 1.323887, 4.353169, 0.7262326, 4.050783, 0.9232417, 0.1574284, 1.367564
15.39424178793903, 2.769346, 1.576711, 3.579195, 0.6613576, 3.824013, 0.8616229, 0.1494473, 1.280094
15.49420439695162, 2.77935, 1.819884, 2.942831, 0.6022781, 3.609938, 0.8041166, 0.1418707, 1.198218
15.59416700596421, 2.570296, 2.025068, 2.419609, 1.451515, 3.407847, 1.813055, 0.1346783, 1.121579
15.69412961497681, 2.376966, 1.99477, 1.989413, 1.32185, 3.217069, 1.692049, 0.1278505, 1.049842
15.7940922239894, 2.706232, 1.369401, 1.635705, 1.203768, 3.036972, 1.579118, 0.1213689, 0.9826936
15.89405483300199, 2.502677, 2.565851, 1.344884, 1.096235, 3.937613, 1.473725, 0.1152159, 0.9198397
15.99401744201458, 2.314433, 1.761446, 1.105769, 0.998307, 3.717178, 1.375366, 0.1093748, 0.8610061
16.09398005102717, 2.140348, 1.209226, 0.9091686, 0.9091275, 3.509084, 1.283571, 0.16367, 0.8059356
16.19394266003976, 1.979357, 0.8301286, 4.286189, 0.8279144, 3.312639, 1.197904, 0.1553725, 0.7543873
16.29390526905235, 1.830476, 1.238592, 3.524124, 0.7539561, 3.129075, 1.117953, 0.1474955, 0.7061362
16.39386787806495, 1.692793, 6.564499, 2.89755, 0.6866046, 2.953903, 1.043339, 0.140018, 0.6609712
16.49383048707753, 1.565466, 5.663671, 2.382379, 0.6252697, 2.788538, 0.9737046, 0.1329195, 0.618695
16.59379309609013, 1.447717, 3.888087, 1.958803, 0.5694139, 2.632431, 0.9087178, 0.1261808, 0.5791228
16.69375570510272, 1.338824, 2.669156, 1.610537, 0.5185477, 3.204051, 0.8480684, 0.1197838, 0.5420817
16.79371831411531, 1.238121, 1.832365, 2.798024, 0.4722254, 3.109413, 0.7914667, 0.1137112, 0.5074097
16.8936809231279, 1.144994, 1.592242, 3.149721, 1.155356, 2.935342, 0.7386428, 0.1079463, 0.4749554
16.99364353214049, 1.576133, 1.093068, 2.589715, 1.052147, 2.771016, 0.6893444, 0.1024738, 0.4445769
17.09360614115308, 1.457581, 3.95559, 2.129275, 0.9581578, 2.61589, 0.6433363, 0.09727867, 0.4161415
17.19356875016567, 1.347946, 2.715496, 1.7507, 0.8725648, 2.469448, 0.6003988, 0.09234693, 0.3895247
