,"C00","C01","C02","C04","C05","C06","C07","C08","C10","C11","C13","C14","C15","C17","C18"
"Time(s)/Cell Status"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"
135.749653428263,74.29067,1.174065E-28,0.9672498,0.04470791,2.802597E-45,0.1978831,1.022425,0.1964487,0.2820313,0.000003643089,0.00000000414636,0.2719196,0.0004952278,5.496326,11.39308
135.849616354205,70.45766,9.340568E-29,0.9264137,0.03541513,2.802597E-45,0.186291,0.921282,0.1717321,0.2476459,0.000002847983,0.00000000346399,0.2376824,0.0003931437,5.2486,11.84613
135.949579280146,66.0518,7.431123E-29,0.8873017,0.02805391,2.802597E-45,0.175378,0.8301443,0.1501253,0.2174528,0.000002226409,0.000000002893918,0.207756,0.0003121027,5.012039,11.33119
136.049542206087,61.66063,5.912016E-29,0.8498411,0.02222275,2.802597E-45,0.1651042,1.203181,0.1312369,0.1909408,0.000001740494,0.000000002417664,0.1815976,0.0002477672,4.78614,10.83863
136.149505132029,58.66294,4.703453E-29,0.8139619,0.01760364,2.802597E-45,0.1554323,1.084156,0.1147251,0.1676612,0.00000136063,0.000000002019787,0.1587328,0.0001966936,4.570423,10.61315
136.24946805797,54.76299,3.74195E-29,0.7795975,0.01394463,2.802597E-45,0.146327,0.9769064,0.1002907,0.1472199,0.000001063671,0.000000001687389,0.1387468,0.000156148,4.364428,10.15181
136.349430983911,51.12232,2.977002E-29,0.7466839,0.01104616,2.802597E-45,0.1377551,1.7115,0.08767243,0.1292708,0.0000008315245,0.000000001409694,0.2694131,0.0001239603,4.167718,9.710519
136.449393909852,47.72368,2.368429E-29,0.7151599,0.008750157,2.802597E-45,0.1296854,1.54219,0.07664174,0.11351,0.0000006500437,0.000000001177699,0.2354915,0.00009840767,3.979874,9.288412
136.549356835794,44.55098,1.884263E-29,0.6849668,0.006931391,2.802597E-45,0.1220883,1.389629,0.0669989,0.09967081,0.0000005081712,9.838845E-10,0.2058409,0.00007812234,3.800496,9.076941
136.649319761735,41.5892,1.499073E-29,0.6560484,0.005490664,2.802597E-45,0.1149363,1.25216,0.05856929,0.08751889,0.0000003972625,8.219659E-10,0.1799236,0.00006201853,3.629203,8.682375
136.749282687676,40.67328,1.192625E-29,0.6283509,0.0043494,2.802597E-45,0.1082033,1.12829,0.05120028,0.07684854,0.0000003105597,6.866943E-10,0.1572696,0.0000492343,3.46563,8.30501
136.849245613618,39.00282,9.488226E-30,0.6018228,0.4514942,2.802597E-45,0.1018647,1.016674,0.04475841,0.06747913,0.0000002427799,5.736845E-10,0.1374679,0.00003908535,8.684707,9.171628
136.949208539559,37.45174,7.548596E-30,0.5764146,1.177449,2.802597E-45,0.0958974,0.9160999,0.03912704,0.05925203,0.000000189793,4.792728E-10,0.1201594,0.00003102847,11.07237,9.109415
137.0491714655,34.96193,6.005475E-30,0.5520792,0.9327103,2.802597E-45,0.09027968,0.8254749,0.2425705,0.052028,0.0000001483706,4.003985E-10,0.1050302,0.00002463239,15.15188,8.713438
137.149134391441,33.49852,4.777806E-30,0.5287712,0.7388415,2.802597E-45,0.08499105,0.7438149,2.030746,0.04568472,0.0000001159886,3.345046E-10,0.09180593,0.00001955478,14.46896,8.466842
137.249097317383,31.27152,3.801103E-30,0.5064471,0.5852693,2.802597E-45,0.08001222,0.6702331,1.870193,0.04011481,0.00000009067401,2.794549E-10,0.08024672,0.00001552384,13.81683,8.098797
137.349060243324,29.19257,3.024063E-30,0.4850656,0.463618,2.802597E-45,0.07532506,0.6039304,1.634891,0.03522399,0.00000007088435,2.334647E-10,0.07014291,0.00001232382,13.19409,8.079053
137.449023169265,27.88622,2.405869E-30,0.4645868,0.3672525,2.802597E-45,0.07091248,0.5441866,1.80389,0.03092947,0.00000005541379,1.950433E-10,0.06131127,0.000009783444,12.59941,7.727864
137.548986095207,26.03232,1.91405E-30,0.4449725,0.2909171,2.802597E-45,0.06675839,0.490353,1.57693,0.02715853,0.0000000433197,1.629448E-10,0.05359161,0.000007766726,12.03154,7.391942
137.648949021148,25.17281,1.52277E-30,0.4261864,0.2304484,2.802597E-45,0.06284765,0.4418449,1.378525,0.02384735,0.00000003386515,1.361289E-10,0.04684393,0.000006165727,11.48927,7.070621
137.748911947089,23.49931,1.211478E-30,0.4081933,0.1825485,2.802597E-45,0.059166,0.3981354,1.269544,0.02093987,0.00000002647406,1.13726E-10,0.04094584,0.00000489475,10.97143,6.763268
137.84887487303,21.93706,9.638218E-31,0.3909599,0.1446048,2.802597E-45,0.05570003,0.3587499,1.109813,0.01838687,0.00000002069608,9.501005E-11,0.03579038,0.000003885767,10.47693,6.469275
