 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C11, C12
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
730.727434912646,0.02635062,0.8194931,0.003413537,0.0000002999597,2.958416E-10,0.1065193,0.5679724,0.001644637,0.08114985,7.680886,0.0619329,0.08649421
730.82739762604,0.02400807,0.7657148,0.003255092,0.0000002771963,2.703872E-10,0.1019257,0.5389057,0.001464041,0.07537515,8.624488,0.05574594,0.08078817
730.927360339434,0.02187378,0.7154657,0.003104001,0.0000002561605,2.471229E-10,0.09753022,0.5113264,0.001303276,0.07001138,8.130035,0.05017705,0.07545856
731.027323052829,0.7968662,0.668514,0.002959923,0.000000236721,2.258603E-10,0.09332427,0.7778772,0.001160164,0.0650293,8.411663,0.04516447,0.07048056
731.127285766223,0.7260256,0.6246435,0.002822533,0.0000002187567,2.064271E-10,0.08929969,0.7380683,0.001032767,0.06040175,7.929412,0.04065264,0.06583095
731.227248479617,0.6614828,0.583652,0.00269152,0.0000002021556,1.88666E-10,0.08544867,0.7002966,0.0009193601,0.05610351,8.764076,0.03659154,0.06148807
731.327211193012,2.769248,0.5453504,0.002566589,0.0000001868144,1.72433E-10,0.08176372,0.664458,0.000818406,0.05211113,8.261621,0.03293613,0.05743169
731.427173906406,2.717937,0.5095624,0.002447456,0.0000001726375,1.575968E-10,0.07823769,0.6304534,0.0007285375,0.04840285,7.787971,0.02964588,0.05364292
731.5271366198,2.476315,0.476123,0.002333853,0.0000001595364,1.44037E-10,0.07486372,0.5981891,0.0006485374,0.04495846,9.804369,0.02668432,0.05010409
731.627099333195,2.256174,0.444878,0.002225523,0.0000001474295,1.31644E-10,0.07163525,0.567576,0.0005773221,0.04175917,9.242272,0.02401862,0.04679872
731.727062046589,2.055603,0.4156833,0.002122222,0.0000001362413,1.203173E-10,0.068546,0.5385295,0.0005139268,0.03878755,8.712401,0.02161921,0.0437114
731.827024759983,1.872862,0.3884046,0.002023715,0.0000001259022,1.099651E-10,0.06558997,0.6701828,0.000457493,0.03602739,8.212909,0.0194595,0.04082775
731.926987473378,1.706366,0.362916,0.6795304,0.0000001163478,1.005036E-10,0.06276143,0.6358853,0.0004072561,0.03346364,7.742052,0.01751554,0.03813434
732.026950186772,1.554672,0.3391,0.6479889,0.0000001075184,9.185622E-11,0.06005486,0.603343,0.0003625356,0.03108234,8.471665,0.01576578,0.03561862
732.126912900166,1.416464,0.3168469,0.6179113,0.000000099359,8.395284E-11,0.05746501,0.5724661,0.0003227259,0.02887049,7.985974,0.01419081,0.03326885
732.226875613561,1.290542,0.2960542,0.5892299,0.00000009181884,7.672948E-11,0.05498685,0.5431694,0.0002872876,0.02681603,9.549387,0.01277318,0.0310741
732.326838326955,1.175814,0.276626,0.5618798,0.00000008485089,7.012763E-11,0.05261556,0.5153719,0.0002557408,0.02490778,9.001908,0.01149717,0.02902414
732.42680104035,1.071285,0.2584727,0.5357991,0.00000007841172,6.40938E-11,0.05034653,0.488997,0.0002276582,0.02313532,8.485818,0.01034863,0.02710941
732.526763753744,0.9760493,0.2415107,0.5109291,0.00000007246121,5.857913E-11,0.04817536,0.4639719,0.0002026592,0.02148899,7.999315,0.009314824,0.025321
732.626726467138,0.8892796,0.2256619,0.4872134,0.00000006696227,5.353894E-11,0.04609781,0.4402275,0.0001804054,0.01995981,8.991961,0.008384294,0.02365057
732.726689180532,0.8102236,0.6677035,0.4645986,0.00000006188063,4.893241E-11,0.04410986,0.4176983,0.0001605952,0.01853945,8.47644,1.95956,0.02209034
732.826651893927,0.7656727,0.6238862,0.4430334,0.00000005718464,4.472224E-11,0.04220764,0.396322,0.0001429604,0.01722016,9.559269,1.763804,0.02063304
732.926614607321,0.6976053,0.5829444,0.4224692,0.00000005284501,4.08743E-11,0.04038744,0.3760397,0.000127262,0.01599476,9.011224,1.587604,0.01927188
733.026577320715,0.6355889,0.5446893,0.4028596,0.0000000488347,3.735745E-11,0.03864575,0.3567953,0.0001132875,0.01485656,8.494599,1.429006,0.01800051
733.12654003411,0.5790858,0.5089447,0.3841601,0.00000004512873,3.414319E-11,0.03697916,0.3385358,0.0001008475,0.01379935,8.007593,1.286252,0.01681301
733.226502747504,0.7067882,0.4755458,0.3663287,0.000000041704,3.120549E-11,0.03538445,0.3212108,0.0000897735,0.01281737,9.485917,1.814716,0.01570386
733.326465460898,0.6439555,0.4443386,0.3493249,0.00000003853917,2.852055E-11,0.3351031,0.3047724,0.00007991555,0.01190528,8.942078,1.871548,0.01466787
733.426428174293,0.5867086,0.4151794,0.3331104,0.00000003561451,2.606662E-11,0.3206519,0.2891753,0.00007114009,0.01105809,8.429417,1.684585,0.01370023
733.526390887687,0.5345508,1.266031,0.3176485,0.00000003291179,2.382383E-11,0.3068239,0.2743763,0.00006332825,0.01027118,7.946147,1.516299,0.01279642
733.626353601082,0.5070178,1.182949,0.3029042,0.00000003041418,2.177401E-11,0.2935922,0.2603348,0.00005637423,0.009540274,9.810387,1.364824,0.01195224
733.726316314476,0.4619445,2.187012,0.2888444,0.00000002810611,1.990056E-11,0.2809311,0.2470118,0.00005018383,0.008861379,9.247945,1.228481,0.01116375
733.82627902787,0.4208781,2.043492,0.2754372,0.00000002597319,1.818831E-11,0.2688161,0.2343706,0.00004467318,0.008230794,9.145501,1.105759,0.01042728
733.926241741265,0.3834625,1.90939,0.2626523,0.00000002400213,1.662337E-11,0.2572235,0.2223764,0.00003976766,0.007645083,9.362492,0.9952958,0.009739387
734.026204454659,0.3493731,1.784088,0.2504608,0.00000002218066,1.519308E-11,0.2461308,0.2109959,0.00003540081,0.007101052,8.825728,0.8958679,0.009096879
734.126167168053,0.3183143,1.667009,0.2388352,0.00000002049741,1.388586E-11,0.2355165,0.2001979,0.00003151347,0.006595734,8.319738,0.8063728,0.008496757
734.226129881448,0.2900165,1.557614,0.2277493,0.0000000189419,1.269111E-11,0.2253599,0.1899525,0.00002805301,0.006126375,8.433934,0.7258179,0.007936224
734.326092594842,0.3831143,1.455397,0.2171779,0.00000001750444,1.159916E-11,0.2156413,0.1802315,0.00002497253,0.005690416,8.367925,0.6533104,0.007412671
734.426055308236,0.6822025,1.359888,0.2070972,0.00000001617606,1.060116E-11,0.2063419,0.1710079,0.00002223032,0.005285481,10.27315,0.5880461,0.006923656
734.526018021631,0.6215554,1.270647,0.1974844,0.00000001494849,9.68903E-12,0.1974435,0.1622563,0.00001978922,0.004909361,9.68418,0.5293016,0.006466901
734.625980735025,0.5662999,1.187262,0.1883178,0.00000001381408,0.6640675,0.1889288,0.1539526,0.00001761619,0.004560006,9.799394,0.4764256,0.006040279
734.725943448419,0.5159564,1.10935,0.1795767,0.00000001276576,3.138825,0.3272552,0.1460739,0.00001568177,0.004235512,9.237582,0.4288318,0.005641801
734.825906161814,0.4700885,1.03655,0.1712414,0.00000001179699,2.868758,0.3131424,0.1385984,0.00001395977,0.003934109,9.398101,0.3859925,0.005269611
734.925868875208,0.4282981,0.9685274,0.1632929,0.00000001090174,2.621928,0.2996383,0.1315054,0.00001242686,0.003654154,8.859296,0.3474327,0.004921974
735.025831588602,0.4895493,0.9049689,0.1557134,0.00000001007443,2.396336,0.2867165,0.1247754,0.00001106227,0.4271664,9.081477,0.3127249,0.004597271
735.125794301997,0.4460289,0.8455813,0.1484857,0.0000000093099,2.190154,0.2743519,0.1183899,0.000009847534,0.4794578,8.560824,0.2814844,0.004293988
735.225757015391,3.658505,1.175317,0.1415934,0.00000000860339,2.001711,0.2625206,0.1123311,0.000008766185,0.4453391,9.699448,0.2533648,0.004010714
735.325719728785,7.088284,1.098189,0.1350211,0.000000007950495,1.829483,0.2511994,0.1065824,0.000007803577,0.4136483,9.143366,0.2280542,0.003746126
735.42568244218,9.61496,1.026121,0.1287539,0.000000007347148,1.672073,0.2403665,0.1011279,0.000006946673,0.3842127,10.7677,0.2052721,0.003498994
735.525645155574,10.94577,0.9587831,0.1227775,0.000000006789587,1.528207,0.2300008,0.09595255,0.000006183865,0.3568718,10.15037,0.1847659,0.003268165
735.625607868968,9.972699,0.895864,0.1170786,0.000000006274339,1.396719,0.2200821,0.09104204,0.00000550482,0.3314764,9.568437,0.1663082,0.003052564
735.725570582363,9.086137,0.8370739,0.1116442,0.000000005798192,1.276544,0.2105911,0.08638284,0.00000490034,0.3078882,11.60921,0.1496944,0.002851186
735.825533295757,8.278389,0.7821419,0.106462,0.000000005358178,1.166709,0.2015095,0.08196209,0.000004362238,0.2859786,10.94364,0.1347402,0.002663092
735.925496009151,7.542449,0.7308147,0.1015204,0.000000004951556,1.066325,0.1928194,0.07776757,0.000003883225,0.2656281,10.62478,0.12128,0.002487408
736.025458722546,6.871934,0.6828558,0.09680817,0.000000004575793,0.9745775,0.1845042,0.0737877,0.000003456811,0.5002326,11.26481,0.1091644,0.002323313
736.12542143594,6.261026,0.6380441,0.09231465,0.000000004228545,0.8907242,0.1765475,0.07001152,0.000003077221,0.4646356,10.61898,0.3388453,0.002170044
736.225384149334,5.704428,0.5961732,0.0880297,0.000000003907649,0.8140857,0.1689339,0.06642859,0.000002739314,0.4315716,11.42777,0.3049954,0.002026886
736.325346862729,5.197311,0.55705,0.08394365,0.000000003611105,0.7440413,0.1616487,0.06302901,0.000002438513,0.4008606,10.7726,0.2745271,0.001893172
736.425309576123,4.735276,0.5204942,0.08004726,0.000000003337065,0.6800234,0.1546776,0.05980342,0.000002170742,0.372335,10.155,0.4581856,0.001768279
736.525272289518,4.314315,0.4863374,0.07633172,0.000000003083822,0.6215138,0.1480072,0.0567429,0.000001932374,0.3458392,9.572798,0.4124139,0.001651626
736.625235002912,3.930777,0.454422,0.07278865,0.000000002849797,0.5680383,0.1416245,0.053839,0.000001720182,0.321229,9.023977,0.3712147,0.001542668
736.725197716306,3.581335,0.4246011,0.06941003,0.000000002633531,0.519164,0.1355169,0.05108372,0.00000153129,0.29837,8.506621,0.5772849,0.001440898
736.825160429701,3.262959,0.3967371,0.06618825,0.000000002433678,0.4744948,0.1296728,0.04846944,0.000001363141,0.2771377,8.018926,0.5196155,0.001345842
736.925123143095,2.972885,0.3707017,0.063116,0.000000002248991,0.4336689,0.1240807,0.04598895,0.000001213455,0.2574163,7.559191,1.171043,0.001257056
737.025085856489,2.708599,0.3463748,0.06018636,0.000000002078319,0.3963557,0.1187298,0.0436354,0.000001080207,0.3120435,7.125813,1.054058,0.001174128
737.125048569884,2.467807,0.3236443,0.05739271,0.0000000019206,0.362253,0.1136096,0.0414023,0.0000009615901,0.2898382,6.717281,0.9487604,0.001096671
737.225011283278,2.248422,0.3024055,0.05472872,0.000000001774849,0.3310845,0.1087102,0.03928348,0.0000008559987,0.3465585,6.332171,0.8539814,0.001024323
737.324973996672,2.04854,0.2825605,0.05218839,0.000000001640159,0.3025978,0.1772876,0.03727309,0.0000007620022,0.321897,5.96914,2.233271,0.0009567486
737.424936710067,1.866427,0.2640178,0.04976597,0.000000001515691,0.2765621,0.7082928,0.03536559,0.0000006783274,0.2989905,5.626921,2.469573,0.0008936317
737.524899423461,1.700503,0.2466919,0.047456,0.000000001400668,0.4732423,0.6777479,0.03355571,0.0000006038408,0.2777141,5.304323,2.465766,0.6037031
737.624862136855,1.549331,0.230503,0.04525325,0.000000001294374,0.4325242,0.6485202,0.03183845,0.0000005375335,0.2579517,5.000219,2.219442,0.5638767
737.72482485025,1.411597,0.2153765,0.04315274,0.000000001196147,0.3953095,0.620553,0.03020907,0.0000004785074,0.2395956,4.713551,2.107317,0.5266777
737.824787563644,1.286107,0.2012427,0.04114973,0.000000001105373,0.3612968,0.5937918,0.02866308,0.000000425963,0.6048024,5.693177,1.896801,1.324174
