 , C0
Time(s)/Cell Status, accepted
33.68734763073918, 1.040942
33.78731008661673, 0.8935547
33.8872725424943, 0.7670361
33.98723499837187, 0.6584314
34.08719745424943, 0.565204
34.18715991012699, 0.4851766
34.28712236600456, 0.4164804
34.38708482188213, 0.3575109
34.48704727775969, 0.3068908
34.58700973363725, 0.2634381
34.68697218951482, 0.2261379
34.78693464539238, 0.194119
34.88689710126994, 0.1666336
34.98685955714751, 0.1430399
35.08682201302507, 0.1227869
35.18678446890264, 0.1054015
35.2867469247802, 0.09047767
35.38670938065776, 0.07766692
35.48667183653533, 0.06667005
35.5866342924129, 0.05723022
35.68659674829046, 0.04912699
35.78655920416802, 0.04217109
35.88652166004559, 0.03620008
35.98648411592315, 0.521867
36.08644657180071, 0.4479758
36.18640902767828, 0.3845468
36.28637148355585, 0.3300988
36.38633393943341, 0.28336
36.48629639531097, 0.243239
36.58625885118854, 0.2087988
36.68622130706611, 0.1792349
36.78618376294366, 0.153857
36.88614621882123, 0.1320724
36.9861086746988, 0.1133722
37.08607113057636, 0.09731982
37.18603358645392, 0.08354029
37.28599604233149, 0.07171181
37.38595849820905, 0.2001503
37.48592095408662, 0.171811
37.58588340996418, 1.082345
37.68584586584174, 0.9290959
37.78580832171931, 0.797545
37.88577077759687, 0.6846205
37.98573323347444, 0.587685
38.085695689352, 0.5044746
38.18565814522957, 0.4330459
38.28562060110713, 0.3717309
38.38558305698469, 0.3190974
38.48554551286226, 0.2739164
38.58550796873983, 0.2351325
38.68547042461739, 0.20184
38.78543288049495, 0.1732615
38.88539533637252, 0.1487294
38.98535779225008, 0.1276707
39.08532024812764, 0.1095938
39.18528270400521, 0.09407641
39.28524515988278, 0.08075611
39.38520761576034, 0.06932184
39.4851700716379, 0.05950655
39.58513252751547, 0.05108101
39.68509498339303, 0.04384844
39.7850574392706, 0.03763993
39.88501989514816, 0.03231049
39.98498235102573, 0.02773564
40.08494480690329, 0.02380854
40.18490726278085, 0.02043749
40.28486971865842, 0.01754374
40.38483217453598, 0.01505972
40.48479463041355, 0.01292741
40.58475708629111, 0.01109702
40.68471954216867, 0.009525787
40.78468199804624, 0.008177029
40.8846444539238, 0.3524252
40.98460690980136, 0.3025252
41.08456936567893, 0.2596906
41.1845318215565, 0.222921
41.28449427743406, 0.1913576
41.38445673331162, 0.1642632
41.48441918918919, 0.1410051
41.58438164506676, 0.1210402
41.68434410094432, 0.1649004
41.78430655682188, 0.1415521
41.88426901269945, 0.2143175
41.98423146857701, 0.3858759
42.08419392445457, 0.3312396
42.18415638033214, 0.2843394
42.28411883620971, 0.2440797
42.38408129208727, 0.2095204
42.48404374796483, 0.1798544
