 , C00, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C19, C20, C21, C22, C23, C25, C26, C27, C28, C29, C30, C31
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
1110.482924751201, 0.1320591, 29.6677, 0.08915927, 1.131177e-07, 0.03880585, 3.935043, 0.4809409, 0.001140283, 6.094473, 0.1067033, 0.001101868, 2.646252, 0.0004572546, 0.0001761448, 0.02247875, 1.128415, 0.02234912, 7.437001e-05, 1.273153e-11, 1.622599, 0.02202516, 1.806779, 2.293598e-20, 2.180634e-06, 2.309605e-22
1110.582887207295, 0.1240962, 28.31926, 0.07835991, 9.910157e-08, 0.0356942, 3.729745, 0.5521018, 0.001051107, 5.406089, 0.09610122, 0.001012986, 2.459847, 0.0004258436, 0.0001665147, 0.02118966, 1.030269, 0.02065902, 7.000416e-05, 1.176451e-11, 1.523944, 0.02088097, 1.725803, 2.101949e-20, 2.016433e-06, 2.076262e-22
1110.682849663389, 0.1166134, 27.03211, 0.06886861, 8.682213e-08, 0.03283206, 3.535158, 0.7258642, 0.0009689053, 4.795459, 0.08655256, 0.0009312736, 2.286572, 0.0003965902, 0.0001574111, 0.01997449, 0.940659, 0.01909673, 6.58946e-05, 1.087093e-11, 1.431286, 0.01979622, 1.648456, 1.926314e-20, 1.864597e-06, 1.866495e-22
1110.782812119484, 0.1095818, 28.23833, 0.06052695, 7.60642e-08, 0.03019942, 3.350723, 0.6599751, 0.000893132, 4.253801, 0.07795266, 0.0008561527, 2.125504, 0.0003693465, 0.0001488053, 0.01882901, 0.8588431, 0.01765258, 6.202629e-05, 1.004523e-11, 1.344263, 0.01876782, 1.574576, 1.765355e-20, 1.724194e-06, 1.67792e-22
1110.882774575578, 0.1029742, 27.41613, 0.05319566, 6.663927e-08, 0.02777787, 3.17591, 0.600067, 0.0008232846, 3.773324, 0.07020725, 0.0007870914, 1.975781, 0.0003439743, 0.0001406699, 0.01774923, 0.7841434, 0.01631765, 5.838507e-05, 9.282248e-12, 1.262531, 0.01779285, 1.504007, 1.617845e-20, 1.594364e-06, 1.508398e-22
1110.982737031672, 0.096765, 26.17003, 0.04675237, 5.838215e-08, 0.02555051, 3.010217, 0.7425693, 0.0007588996, 3.347119, 0.06323143, 0.000723601, 1.836605, 0.000320345, 0.0001329793, 0.01673136, 0.7159408, 0.06141347, 5.49576e-05, 8.577215e-12, 1.185768, 0.4127081, 1.4366, 1.482661e-20, 1.474309e-06, 1.356002e-22
1111.082699487766, 0.09093022, 25.10939, 0.04108952, 5.114816e-08, 0.02350174, 2.853169, 0.6751638, 0.0006995498, 2.969054, 0.05694873, 0.0006652319, 1.707232, 0.0002983389, 0.0001257091, 0.01577186, 0.6536703, 0.5956685, 5.173135e-05, 7.925734e-12, 1.113672, 0.3912682, 1.372215, 1.358773e-20, 1.363295e-06, 1.219003e-22
1111.182661943861, 0.08544728, 25.31429, 0.03611258, 4.481051e-08, 0.02161725, 2.704314, 0.6138769, 0.0006448415, 2.633693, 0.05129028, 0.0006115712, 1.586973, 0.0002778445, 0.0001188364, 0.01486739, 1.197488, 0.5506225, 4.869448e-05, 7.323735e-12, 1.422139, 0.3709421, 1.310715, 1.245236e-20, 1.26064e-06, 1.095846e-22
1111.282624399955, 0.08029495, 24.56969, 0.03173847, 3.925815e-08, 0.01988387, 2.563226, 0.5581533, 0.0005944116, 2.336212, 0.04619406, 0.000562239, 1.475185, 0.000258758, 0.0001123395, 0.01401479, 1.093334, 0.5089829, 4.58359e-05, 6.767462e-12, 1.335672, 0.3516719, 1.251972, 1.141187e-20, 1.165714e-06, 9.85131e-23
1111.382586856049, 0.0754533, 23.64828, 0.02789417, 3.439376e-08, 0.01828948, 2.791289, 0.5074878, 0.0005479257, 2.072331, 0.0416042, 0.0005168861, 1.371271, 0.0002409827, 0.0001061977, 0.01321109, 0.9982387, 1.97033, 4.314513e-05, 6.25344e-12, 1.254462, 0.3334028, 1.195861, 1.045831e-20, 1.077937e-06, 8.856019e-23
1111.482549312143, 0.07090358, 23.09456, 0.02451551, 3.013211e-08, 0.01682294, 3.373964, 0.7073856, 0.0005050751, 1.838257, 0.03747039, 0.0004751917, 1.274677, 0.0002244284, 0.0001003918, 0.01245347, 0.9114147, 5.036901, 4.061231e-05, 5.77846e-12, 1.178189, 0.3160828, 1.142265, 9.584436e-21, 9.967689e-07, 7.961283e-23
1111.582511768238, 0.06662821, 23.8046, 0.02154608, 2.639852e-08, 0.01547399, 3.197938, 0.6431738, 0.0004655757, 1.630622, 0.03374732, 0.0004368605, 1.184887, 0.0002090113, 9.49032e-05, 0.0117393, 1.466998, 4.655997, 3.822819e-05, 5.339558e-12, 1.106554, 0.2996625, 1.237203, 8.783578e-21, 9.217129e-07, 7.156944e-23
1111.682474224332, 0.06261063, 22.72264, 0.01893633, 2.312754e-08, 0.01423321, 3.031096, 0.5847908, 0.0004291653, 1.446439, 0.03039417, 0.0004016212, 1.101423, 0.0001946532, 8.971472e-05, 0.01106608, 1.339402, 4.303898, 3.598402e-05, 4.933992e-12, 1.039275, 0.2840953, 1.181754, 8.049639e-21, 8.523085e-07, 6.433868e-23
1111.782436680426, 0.05883531, 23.19606, 0.01664268, 2.026186e-08, 0.01309192, 2.872959, 0.5317073, 0.0003956024, 1.283061, 0.02737419, 0.0003692246, 1.023837, 0.0001812815, 8.480989e-05, 0.01043148, 1.350132, 3.978426, 3.38716e-05, 4.559231e-12, 0.976086, 0.2693367, 1.12879, 7.377026e-21, 7.881303e-07, 5.783845e-23
1111.88239913652, 0.05528764, 22.14176, 0.01462685, 1.775126e-08, 0.01204214, 3.042551, 0.4834425, 0.0003646643, 1.138136, 0.02465428, 0.0003394412, 0.9517168, 0.0001688284, 8.017322e-05, 0.009833262, 1.232701, 3.677567, 3.188318e-05, 4.212935e-12, 0.9167392, 0.2553449, 2.301671, 6.760615e-21, 7.287846e-07, 5.199496e-23
